date,description,amount
04/18/23,"This date may not be the same date your bank will debit your bank account. Any inquiry to American Express concerning this debit should be made before 04/16/23. If your AutoPay payment is less than your Minimum Payment Due, we must receive an additional payment for at least the difference by04/18/23. For more information on your Pay Over Time Limit and your purchasing options, please seepage 6 Payments and Credits Summary Pay Over Time / Pay In Full Cash Advance Total Payments $0.00 -$279.09t -$279.09 Credits $0.00 -$700.68 -$700.68 Total Payments and Credits $0.00 -$979.77 -$979.77 Detail *Indicates posting date - denotes Pay Over Time and/or Cash Advance activity Payments t Amount",
03/18/23,AUTOPAY PAYMENT RECEIVED - THANK YOU - Bank of America NA Credits Amount,279.09
02/27/23,Points for Amex Trvl -,153.90
02/27/23,Points for Amex Trvl -$154.95t,
02/28/23,AIRBNB * HMH4FJZ8SQ -$242.76t SAN FRANCISCO CA,
03/02/23,AMEX Dining Credit - Reimbursement,10.00
03/02/23,TRV* REI CO-OP USED GE - BRISBANE CA,139.07
02/25/23,Shake Shack - 1271A (Web) 16164811005 WATERTOWN MA 1648767760937779302472,11.42
02/26/23,PwP AMERICAN EXPRESS TRAVEL SEATTLE WA DELTA AIR LINES,153.90
02/26/23,PwP AMERICAN EXPRESS TRAVEL SEATTLE WA ALASKA AIRLINES,154.95
02/26/23,AMEXTRAVEL CAR 800-297-2977 WA TRAVEL,409.30
02/27/23,AIRBNB * HMBKPFN89M SAN FRANCISCO CA 4158005959,184.70
02/27/23,AIRBNB * HMH4FJZ8SQ SAN FRANCISCO CA 4158005959,242.76
03/01/23,CHIPOTLE ONLINE NEWPORT BEACH CA 1299 92660,19.74
03/02/23,CENTRAL ROCK GYM CAMBR CENTRAL ROCK GY CAMBRIDGE MA MEMBERSHIP CLUB,25.00
03/04/23,AIRBNB * HMBKPFN89M SAN FRANCISCO CA 4158005959,738.77
03/10/23,IC* INSTACART SAN FRANCISCO CA +18882467822,41.65
03/12/23,WHOLEFDS WSL 10216 000010216 SEATTLE WA 2066219700,45.99
03/12/23,CKE*RONDO SEATTLE 000023750 SEATTLE WA 2065882051,58.52
03/12/23,RICOS PIZZA 021770021697773 GOLD BAR WA 0000044045 98251,35.80
03/13/23,STEVENS PASS F&B SKYKOMISH WA 66696637 98288,38.59
03/13/23,Best Lockers (StevensPass SKYKOMISH WA MISC PERSONAL SERVICE,10.00
03/15/23,NORTH CASCADES PERKS Concrete WA squareup.com/receipts,13.30
03/15/23,KFC MONROE WA 360-805-9340,15.27
03/17/23,BIANG BIANG NOODLES SEATTLE WA squareup.com/receipts,57.21
03/17/23,THE WOODS COFFEE COLLEGE 00-0802791522 MOUNT VERNON WA FAST FOOD RESTAURANT,12.95
03/21/23,RAISING CANE'S 0726 0726 BOSTON MA 70148 02215,12.19
